Λούκης, Γιώργος  Ιωάννης 
Αγγελόπουλος, Ιωάννης 
Τσαπατσάρη, Σταματίνα Στ. 
Καρκαλούσος, Πέτρος Λ. 
Κονιδάρης, Νικόλαος Σπ. 
Χρηστάκης, Αναστάσιος Α. 
Μήτσουρας, Εμμανουήλ Σ. 
Καραδημητρίου, Παναγιώτης Γ. 
Μαθιόπουλος, Δημήτριος 
Μαθιουλάκης, Αλέξανδρος Α. 
Ηλιάδου, Σοφία Μ. 
Μισόκαλος, Μαρίνος Ι. 
Παπακούσουλας, Κωνσταντίνος Α. 
Μαστροδήμος, Σπυρίδων Ν. 
Κουμανιώτη, Κωνσταντίνα Β. 
Στάντζου, Βασιλική-Βανέσσα 
Κουλαμπίδης, Αντώνιος 
Χαρμπάτσης, Ιωάννης Ελ. 
Ζουντουρίδου, Θεοπίστη Κ. 
Παπαλιόλιος, Ευάγγελος Α. 
Μπαρτσώκας, Ιωάννης Α. 
Βαμβακούση, Παναγιώτα Π. 
Βασιλείου, Αλεξάνδρα Σ. 
Σπέγκος, Βασίλειος Χρ. 
Λεοντιάδης, Νεκτάριος 
Σιωπίδης, Γεώργιος Β. 
Τσακανίκα, Αικατερίνη Δ. 
Θεοδωρόπουλος, Βασίλης 
Ταταράκης, Γεώργιος Ε. 
Ζαχαριάς, Παναγιώτης 
Καραμανώλη, Αναστασία Στ. 
Γκενεράλης, Δημήτριος Ευστ. 
Ταγκαλάκη, Βασιλική 
Χάδου, Δέσποινα Ι. 
Κυπρίου, Ειρήνη 
Αλεξοπούλου, Αικατερίνη 
Χρονοπούλου, Μάρθα 
Φλυτζανής, Δημήτριος 
Στρογγυλός, Κωνσταντίνος 
Κοκκινάκης, Παναγιώτης 
Παντουβάκης, Στυλιανός 
Χάρλας, Ιωάννης 
Τσουγράνης, Μιχάλης 
Αθερινός, Ευάγγελος 
Μεταξάς, Νικόλαος 
Μπαφαλούκας, Θεόδωρος 
Τσαπάρας, Ιωάννης 
Παναγιωτόπουλος, Βασίλειος 
Βασιλείου, Παναγιώτα 
Μπήτρου, Ελένη Στ. 
Σμέτη, Ελένη Μ. 
Θωμάς, Κωνσταντίνος Β. 
Κριεκούκης, Λεωνίδας Παναγιώτη 
Ράδου, Πολυξένη Νικολάου 
Μισιρλής, Νικόλαος Γρηγ. 
Δασκαλόπουλος, Ιωάννης Ηλία 
Κολλιάρου, Μαρία-Ελένη 
Ατσαρού, Κωνσταντίνα Νικολάου 
Τσούμαλης, Γεώργιος Ι. 
Καψοκαβάδης, ΠαναγιώτηςΜαρκόπουλος, Βασίλειος
Ανδριτσοπούλου, Λεμονιά Ιωάννου 
Οικονόμου, Ιωάννης 
Παπαδοπούλου, Σταυρούλα Η. 
Μηλιώτης, Ευστάθιος Κων. 
Χαριτίδης, Θεμιστοκλής 
Antos, Dimitrios 
Βασίλα, Στέλλα 
Τζαβάρας, Αθανάσιος Ι. 
Παπαεμμανουήλ, Όλγα 
Γροντάς, Παναγιώτης 
Αναγνωστόπουλος, Θεόδωρος 
Πατίδης, Ηλίας 
Μπλάνας, Απόστολος 
Παπαγιαννακόπουλος, Παναγιώτης 
Φράγκος, Χρήστος 
Πίτσα, Βασιλική 
Μανδαλάς, Κυριάκος 
Κοτταρίδη, Κλημεντία 
Παπακωνσταντίνου, Σωτήριος 
Ματσούκας, Θεοφάνης 
Παπαγεωργίου, Σπύρος 
Δουκάκης, Ευάγγελος 
Σταυρουλάκης, Δημήτριος 
Τσακανίκας, Βασίλειος Δ. 
Αντωνοπούλου, Μαρία 
Δημόπουλος, Ευστράτιος Γ. 
Λιώσης, Γεώργιος 
Pramataris, Katherine 
Σκουλαρίδου, Βικτωρία 
Μάμαλης, Ιωάννης Ε. 
Χριστοφιδάκη, Κυριακή Ι. 
Μπακαλογιάννης, Μιλτιάδης Ευαγγέλου 
Μποφιλιάκης, Δημήτριος Εμμανουήλ 
Γληνού, Αικατερίνη Κων. 
Σκολαρίκος, Μαρίνος Φωτίου 
Χαρίση, Αφροδίτη 
Βαρουτά, Παναγιώτα Νικ. 
Φωτόπουλος, Μιχαήλ Κ. 
Πολίτου, Δέσποινα 
Σούρσος, Σέργιος 
Ζυγούρη, Ουρανία 
Κούρουπας, Γεώργιος 
Μπονάτος, Ιωάννης 
Pitkanen, Reetta 
Καλλώνης, Σπυρίδων 
Βαρούνης, Δημοσθένης 
Γιώτας, Ευάγγελος 
Παναγιωτόπουλος, Ιωάννης 
Ηλιούδη, Σταματία 
Ανδρεάδου, Ελεονώρα 
Στουγιάννου, Ελευθερία 
Καραγιάννης, Σπυρίδων 
Τζιόβα, Παναγιώτα 
Κουμούσης, Παναγιώτης 
Χαραλαμπάκος, Στρατής 
Λουκάς, Ελευθέριος 
Παπαντωνάκος, Εμμανουήλ 
Κοντοπούλου, Σταυραλένη 
Κοσμόπουλος, Άρης 
Μανίκας, Κωνσταντίνος 
Μπάρτζη, Αναστασία Α. 
Παπαζαφειροπούλου, Αναστασία 
Παπαδημητρίου, Βασίλειος 
Τρύφωνας, Θεόδωρος Α. 
Σιουγλέ, Ευφροσύνη Σ. 
Ντάρδας, Αθανάσιος Πλουτ. 
Βαλμάς, Σωτήριος 
Θρακιώτης, Πασχάλης Αθαν. 
Φράγκου, Σοφία Ν. 
Βρεττάκος, Μιχαήλ Δ. 
Βλάσσης, Γεώργιος Δημητρίου - Δάμωνος 
Καρακίτσος, Μιχαήλ Α. 
Τσερκέζογλου, Σταύρος 
Σπάης, Χρίστος Ι. 
Ντότσιας, Άρης Ν. 
Πάστρας, Αθανάσιος Χρ. 
Λινάρδου, Ελένη Δ. 
Βερβερίδης, Χριστόφορος 
Ρεφενές, Κωνσταντίνος 
Σχετάκης, Γεώργιος Ε. 
Μπορώτης, Σπυρίδων 
Ανδρικόπουλος, Παναγιώτης 
Παντελούς, Αθανάσιος Α. 
Κορωνάκη, Βασιλεία Π. 
Καράκοιδας, Βασίλειος 
Ραχούτης, Αθανάσιος 
Κρητικού, Καλλιόπη 
Ζερβουδάκης, Μιχάλης 
Κουτουμάνος, Ευάγγελος 
Κελεπούρης, Θωμάς 
Μπαρδάκη, Κλεοπάτρα 
Σουπιώνης, Ιωάννης 
Λουκαρέλλι, Γιώργος 
Ζαγκαβιέρου, Μαρία 
Νακούλας, Άγγελος 
Μαρκόπουλος, Παναγιώτης 
Καρακιόζογλου, Σοφία 
Ζαρογιάννη, Βασιλική 
Λύρας, Κωνσταντίνος 
Παπαδημητρίου, Δήμητρα Επ. 
Καραβασίλης, Κωνσταντίνος Ι. 
Βαμιανάκης, Νικόλαος Σ. 
Στάγγελ, Ειρήνη Ε. 
Χρυσοστομίδου, Όλγα 
Ζάβρας, Γεράσιμος 
Χατζηκωστή, Ελένη 
Γρίβα, Χριστίνα Π. 
Σπυρονίκου, Αικατερίνη 
Γεωργάτσος, Εμμανουήλ Κων. 
Συριτζίδου, Ελένη 
Καλυβίτης, Ισίδωρος 
Μουλίνος, Κων/νος Δ. 
Μούρτος, Αριστείδης Ε. 
Γαλάνης, Δημήτριος 
Μανωλόπουλος, Μιχαήλ Ι. 
Σπυράτος, Γεώργιος Ε. 
Κωνσταντάκης, Παναγιώτης Ι. 
Σκαλοχωρίτης, Μιχαήλ Α. 
Μπαλιάκας, Βασίλειος 
Μποζοβίτης, Δημήτριος Α. 
Κωστοπούλου, Μαρία 
Μωϋσόγλου, Φίλιππος Γ. 
Σακκάς, Σωτήριος Στ. 
Κύρτσιου, Τριανταφυλλιά 
Μαγδαληνός, Παναγής 
Κουσαρίδας, Απόστολος 
Γαλάνης, Δημήτριος 
Πεδιαδιτάκης, Δημοσθένης 
Γέγος, Γεώργιος 
Στάθης, Κωνσταντίνος 
Ηλιάκης, Στυλιανός 
